mgi_id	gene_name	ensemble_id	uberon_annotations
mgi:87902	acta1	ensmusg00000031972	uberon_0000383,uberon_0005944,uberon_0001456,uberon_0000019,uberon_0001711,uberon_0000468,uberon_0001348,uberon_0001134,uberon_0000033,uberon_0001130,uberon_0002107,uberon_0001577,uberon_0007811,uberon_0002104,uberon_0001434,uberon_0002423
mgi:2139628	ctso	ensmusg00000028015	uberon_0002416,uberon_0011933,uberon_0006003
mgi:87906	actg1	ensmusg00000062825	uberon_0005944,uberon_0002295,uberon_0001134,uberon_0002499,uberon_0012449,uberon_0000012,uberon_0006937,uberon_0002105,uberon_0001630,uberon_0002227,uberon_0000922,uberon_0001007,uberon_0007811,uberon_0000383,uberon_0001846,uberon_0001844,uberon_0001849,uberon_0003457,uberon_0003128,uberon_0001690,uberon_0001434
mgi:3783978	plbcq4	not_found	uberon_0000468
mgi:87904	actb	ensmusg00000029580	uberon_0002110,uberon_0000474,uberon_0001173,uberon_0002295,uberon_0004535,uberon_0001135,uberon_0001016,uberon_0002499,uberon_0003975,uberon_0001690,uberon_0000012,uberon_0001911,uberon_0006937,uberon_0002105,uberon_0010147,uberon_0001630,uberon_0002227,uberon_0000079,uberon_0005944,uberon_0008974,uberon_0002416,uberon_0000922,uberon_0007811,uberon_0000383,uberon_0004716,uberon_0001846,uberon_0001844,uberon_0001849,uberon_0004054,uberon_0003457,uberon_0003128,uberon_0000998,uberon_0006003,uberon_0002423,uberon_0012449,uberon_0001434,uberon_0000995
mgi:87905	actc1	ensmusg00000068614	uberon_0000383,uberon_0002349,uberon_0000468,uberon_0004535,uberon_0004493,uberon_0000948,uberon_0002084,uberon_0001630
mgi:1859670	adgrg3	ensmusg00000060470	uberon_0001959,uberon_0002405,uberon_0001249,uberon_0002390,uberon_0002106,uberon_0001251
mgi:3808033	rgsc916	not_found	uberon_0000948
mgi:2149683	skull4	not_found	uberon_0003457,uberon_0005944,uberon_0007811,uberon_0003128,uberon_0001434
mgi:2387303	paam2	not_found	uberon_0002405
mgi:3716479	rosq1	not_found	uberon_0002390,uberon_0002405
mgi:3849833	tg(lck-tnfsf14)24yxf	not_found	uberon_0002113,uberon_0002405,uberon_0000014,uberon_0000074,uberon_0002390,uberon_0002107,uberon_0002106,uberon_0001225,uberon_0001630,uberon_0001229,uberon_0002416,uberon_0001007,uberon_0001004,uberon_0001285,uberon_0001008,uberon_0000383,uberon_0000160,uberon_0002423,uberon_0000029
mgi:3808038	rgsc919	not_found	uberon_0002405,uberon_0004177,uberon_0002390
mgi:94936	dup	not_found	uberon_0005944,uberon_0002113,uberon_0000468,uberon_0000026,uberon_0000916,uberon_0003252,uberon_0001130,uberon_0007812,uberon_0001434,uberon_0001008
mgi:5792251	mpc295h	not_found	uberon_0002107,uberon_0002423
mgi:3528321	manln16	not_found	uberon_0001708,uberon_0005944,uberon_0011156,uberon_0001684,uberon_0003128,uberon_0007811,uberon_0001434
mgi:1859314	barhl2	ensmusg00000034384	uberon_0003902,uberon_0000019,uberon_0001792,uberon_0000012,uberon_0000468,uberon_0001802,uberon_0000966,uberon_0001791,uberon_0003951,uberon_0002104,uberon_0000941,uberon_0001785
mgi:3030547	olfr713	ensmusg00000073898	uberon_0000012
mgi:98001	rpe65	ensmusg00000028174	uberon_0002405,uberon_0001768,uberon_0001769,uberon_0001016,uberon_0003951,uberon_0000012,uberon_0002390,uberon_0002104,uberon_0001771,uberon_0000966,uberon_0011892,uberon_0003902,uberon_0000019,uberon_0001802,uberon_0001801,uberon_0001782,uberon_0001787,uberon_0001789
mgi:4455041	tg(krt14-nog)#jake	not_found	uberon_0004356,uberon_0002544,uberon_0004347,uberon_0002470,uberon_0000922,uberon_0004716,uberon_0002416,uberon_0015790,uberon_0000924,uberon_0011933,uberon_0001037,uberon_0002101
mgi:3703323	tg(tek-procr)1cte	not_found	uberon_0002405,uberon_0000922,uberon_0002390
mgi:3032849	im3	not_found	uberon_0002405
mgi:3793438	tg(igh-3/igh-6vd93)1241ust	not_found	uberon_0002405,uberon_0002390
mgi:3030548	olfr714	ensmusg00000049674	uberon_0000012
mgi:2448490	sbno2	ensmusg00000035673	uberon_0000383,uberon_0000440,uberon_0001474,uberon_0002390,uberon_0002405,uberon_0002483,uberon_0000468,uberon_0008867,uberon_0001434
mgi:2448492	kdm6b	ensmusg00000018476	uberon_0000323,uberon_0002298,uberon_0000473,uberon_0002405,uberon_0001130,uberon_0006524,uberon_0000955,uberon_0002091,uberon_0001016,uberon_0000079,uberon_0004716,uberon_0000014,uberon_0000011,uberon_0004893,uberon_0002048,uberon_0000976,uberon_0002390,uberon_0002516,uberon_0002102,uberon_0002410,uberon_0005944,uberon_0006772,uberon_0002028,uberon_0003822,uberon_0001896,uberon_0001004,uberon_0004054,uberon_0008874,uberon_0001434,uberon_0006007,uberon_0005399
mgi:1935147	arid1a	ensmusg00000007880	uberon_0001708,uberon_0002137,uberon_0002342,uberon_0002407,uberon_0001456,uberon_0002012,uberon_0002349,uberon_0001987,uberon_0001703,uberon_0000478,uberon_0004535,uberon_0005956,uberon_0002094,uberon_0002390,uberon_0000947,uberon_0003972,uberon_0000955,uberon_0011156,uberon_0000019,uberon_0002397,uberon_0004716,uberon_0004362,uberon_0001695,uberon_0005953,uberon_0008852,uberon_0004493,uberon_0002146,uberon_0003115,uberon_0003114,uberon_0003117,uberon_0002105,uberon_0002104,uberon_0001630,uberon_0001678,uberon_0000088,uberon_0000440,uberon_0001049,uberon_0002244,uberon_0000033,uberon_0001890,uberon_0000922,uberon_0000926,uberon_0006207,uberon_0005944,uberon_0000948,uberon_0002084,uberon_0007811,uberon_0002080,uberon_0000383,uberon_0005440,uberon_0001691,uberon_0001682,uberon_0004021,uberon_0003128,uberon_0001434,uberon_0003123,uberon_0003120,uberon_0003121,uberon_0001690,uberon_0003072,uberon_0006333
mgi:1919247	smg9	ensmusg00000002210	uberon_0002544,uberon_0001473,uberon_0001989,uberon_0003499,uberon_0001072,uberon_0002298,uberon_0001075,uberon_0002094,uberon_0002091,uberon_0004716,uberon_0004493,uberon_0005944,uberon_0002028,uberon_0000965,uberon_0002198,uberon_0001860,uberon_0001862,uberon_0002384,uberon_0001905,uberon_0004666,uberon_0004667,uberon_0005485,uberon_0001456,uberon_0000056,uberon_0001690,uberon_0001508,uberon_0003252,uberon_0001756,uberon_0006558,uberon_0007811,uberon_0001281,uberon_0001280,uberon_0004277,uberon_0001846,uberon_0001849,uberon_0001686,uberon_0018144,uberon_0003128,uberon_0003123,uberon_0002423,uberon_0000323,uberon_0002113,uberon_0011362,uberon_0002349,uberon_0001703,uberon_0001707,uberon_0006428,uberon_0001130,uberon_0002082,uberon_0000033,uberon_0001636,uberon_0002517,uberon_0001899,uberon_0002470,uberon_0001890,uberon_0001891,uberon_0001894,uberon_0001650,uberon_0005989,uberon_0000982,uberon_0000004,uberon_0000007,uberon_0001434,uberon_0002405,uberon_0003861,uberon_0004535,uberon_0000959,uberon_0000955,uberon_0000019,uberon_0000013,uberon_0000012,uberon_0003117,uberon_0002062,uberon_0002107,uberon_0002105,uberon_0002104,uberon_0002101,uberon_0010190,uberon_0002410,uberon_0002412,uberon_0001677,uberon_0001004,uberon_0000948,uberon_0002087,uberon_0000947,uberon_0002085,uberon_0000941,uberon_0002083,uberon_0001008,uberon_0000383,uberon_0001802,uberon_0001801,uberon_0002072,uberon_0000309,uberon_0006729,uberon_0004647,uberon_0002079,uberon_0002078,uberon_0003072
mgi:1919244	cnn3	ensmusg00000053931	uberon_0002384,uberon_0003128,uberon_0000955
mgi:108046	laptm5	ensmusg00000028581	uberon_0002390,uberon_0002405
mgi:3795179	hlb495	not_found	uberon_0004535,uberon_0002425,uberon_0002084,uberon_0000948,uberon_0002407
mgi:1926097	prima1	ensmusg00000041669	uberon_0001894
mgi:96067	htt	ensmusg00000029104	uberon_0008800,uberon_0010404,uberon_0000473,uberon_0001981,uberon_0000079,uberon_0004716,uberon_0001871,uberon_0001875,uberon_0002390,uberon_0003062,uberon_0005383,uberon_0004013,uberon_0005944,uberon_0002028,uberon_0001343,uberon_0001869,uberon_0004015,uberon_0001906,uberon_0002384,uberon_0001900,uberon_0002421,uberon_0005399,uberon_0000349,uberon_0005366,uberon_0001359,uberon_0001690,uberon_0001691,uberon_0002435,uberon_0002289,uberon_0002285,uberon_0002286,uberon_0004877,uberon_0007811,uberon_0005403,uberon_0003128,uberon_0002037,uberon_0002298,uberon_0000935,uberon_0000033,uberon_0002264,uberon_0000091,uberon_0001890,uberon_0000922,uberon_0001893,uberon_0001894,uberon_0001895,uberon_0001897,uberon_0002329,uberon_0004054,uberon_0003457,uberon_0001434,uberon_0001887,uberon_0010011,uberon_0002405,uberon_0004535,uberon_0000956,uberon_0000955,uberon_0001016,uberon_0008780,uberon_0004341,uberon_0004023,uberon_0000014,uberon_0008853,uberon_0001891,uberon_0002105,uberon_0002416,uberon_0002310,uberon_0005725,uberon_0001950,uberon_0000301
mgi:1934816	tex15	ensmusg00000009628	uberon_0000079,uberon_0000473,uberon_0004054,uberon_0000468,uberon_0005399
mgi:1918190	dap	ensmusg00000039168	uberon_0005944,uberon_0002405,uberon_0002091,uberon_0002228,uberon_0002390,uberon_0001434,uberon_0003252
mgi:3795174	hlb233	not_found	uberon_0004535
mgi:2442632	cacna2d4	ensmusg00000041460	uberon_0003951,uberon_0000019,uberon_0001795,uberon_0001802,uberon_0001790,uberon_0000966,uberon_0001789,uberon_0002104,uberon_0003902
mgi:3578159	12aex	not_found	uberon_0002384,uberon_0003128,uberon_0000955
mgi:1917685	inf2	ensmusg00000037679	uberon_0000474,uberon_0000323,uberon_0001987,uberon_0004716,uberon_0000478,uberon_0003946,uberon_0001981,uberon_0004535,uberon_0000178
mgi:5705247	tg(teto-egfr*t790m)8paow	not_found	uberon_0001004
mgi:3773861	why1	not_found	uberon_0002405
mgi:1917680	tbce	ensmusg00000039233	uberon_0000475,uberon_0000383,uberon_0001884,uberon_0001647,uberon_0002315,uberon_0000012,uberon_0001780,uberon_0004535,uberon_0001004,uberon_0002240,uberon_0001630,uberon_0001016
mgi:1917683	draxin	ensmusg00000029005	uberon_0003544,uberon_0002240,uberon_0001893,uberon_0001869,uberon_0000935,uberon_0002315,uberon_0002336,uberon_0001890,uberon_0000908,uberon_0000955
mgi:3578150	97c2	not_found	uberon_0001049,uberon_0000922,uberon_0004716,uberon_0002384,uberon_0003128,uberon_0000955
mgi:2444772	zhx3	ensmusg00000035877	uberon_0005944,uberon_0001095,uberon_0006068,uberon_0002103,uberon_0001690,uberon_0003823,uberon_0000468,uberon_0000979,uberon_0007812,uberon_0002105,uberon_0002091,uberon_0001434
mgi:2444773	mavs	ensmusg00000037523	uberon_0002405,uberon_0001016,uberon_0002390,uberon_0002106
mgi:3800160	tg(mttgfa)lmb	not_found	uberon_0001263,uberon_0000017,uberon_0000016,uberon_0001007,uberon_0002368,uberon_0000006,uberon_0001264
mgi:3578154	g2e	not_found	uberon_0001049,uberon_0000922,uberon_0004716,uberon_0002384,uberon_0003128,uberon_0000955
mgi:2679446	slitrk1	ensmusg00000075478	uberon_0000079,uberon_0000473,uberon_0004054,uberon_0000468,uberon_0001301,uberon_0000998,uberon_0002365,uberon_0010147,uberon_0001016
mgi:2444777	ncaph	ensmusg00000034906	uberon_0001869,uberon_0001893,uberon_0001890,uberon_0000922,uberon_0004716,uberon_0005291,uberon_0000956,uberon_0000955,uberon_0001016
mgi:5708307	smsz	not_found	uberon_0000468,uberon_0000965,uberon_0002104,uberon_0001801,uberon_0000019
mgi:103574	amph	ensmusg00000021314	uberon_0000079,uberon_0000473,uberon_0004813,uberon_0004054,uberon_0005399,uberon_0001343,uberon_0001016
mgi:103577	hand1	ensmusg00000037335	uberon_0000088,uberon_0000014,uberon_0000474,uberon_0001987,uberon_0000209,uberon_0001074,uberon_0002094,uberon_0008853,uberon_0004716,uberon_0002492,uberon_0003972,uberon_0002397,uberon_0003278,uberon_0004493,uberon_0000358,uberon_0005944,uberon_0002028,uberon_0002539,uberon_0004784,uberon_0000165,uberon_0003946,uberon_0004666,uberon_0004667,uberon_0002133,uberon_0001456,uberon_0001723,uberon_0001690,uberon_0001695,uberon_0002229,uberon_0001756,uberon_0001049,uberon_0007811,uberon_0005868,uberon_0001681,uberon_0001683,uberon_0001682,uberon_0001684,uberon_0004374,uberon_0001686,uberon_0003128,uberon_0001434,uberon_0003124,uberon_0001708,uberon_0005871,uberon_0002349,uberon_0001703,uberon_0001706,uberon_0006428,uberon_0018242,uberon_0000947,uberon_0004365,uberon_0004364,uberon_0000033,uberon_0002517,uberon_0001630,uberon_0001716,uberon_0003216,uberon_0000922,uberon_0001893,uberon_0001895,uberon_0003107,uberon_0000004,uberon_0001890,uberon_0004340,uberon_0006332,uberon_0002407,uberon_0011156,uberon_0004535,uberon_0010389,uberon_0000955,uberon_0004347,uberon_0004345,uberon_0004021,uberon_0006280,uberon_0008852,uberon_0002062,uberon_0002105,uberon_0002101,uberon_0001678,uberon_0002244,uberon_0006265,uberon_0001677,uberon_0001007,uberon_0001004,uberon_0000948,uberon_0002087,uberon_0002084,uberon_0000383,uberon_0006721,uberon_0004649,uberon_0000305
mgi:103576	ccl11	ensmusg00000020676	uberon_0002390,uberon_0002405
mgi:2139090	stard7	ensmusg00000027367	uberon_0000014,uberon_0002405,uberon_0002416,uberon_0004802,uberon_0001004,uberon_0001003,uberon_0002390,uberon_0000414
mgi:103573	cebpd	ensmusg00000071637	uberon_0010412,uberon_0001765,uberon_0002416,uberon_0001348,uberon_0002405,uberon_0001004,uberon_0001911,uberon_0003427,uberon_0008974,uberon_0006003,uberon_0001008
