Uberon_id	P-value	Term name
uberon_2000168	1.0	anterior_macula
uberon_2000004	1.0	anterior_axial_hypoblast
uberon_2000164	1.0	ventral_mesenchyme
uberon_0000949	1.0	endocrine_system
uberon_0007097	1.0	chordo_neural_hinge
uberon_0007308	1.0	pronephric_distal_early_tubule
uberon_0002203	1.0	vasculature_of_eye
uberon_0007302	1.0	pectoral_appendage_vasculature
uberon_0007303	1.0	pharyngeal_vasculature
uberon_0007306	1.0	pronephric_glomerular_capillary
uberon_0007304	1.0	appendage_vasculature
uberon_0005068	1.0	neural_rod
uberon_2001145	1.0	tooth_3v
uberon_2001140	1.0	dorsal_tooth_row
uberon_2001069	1.0	ventral_fin_fold
uberon_0004119	1.0	endoderm-derived_structure
uberon_0007132	1.0	head_kidney
uberon_0004117	1.0	pharyngeal_pouch
uberon_2001593	1.0	caudal_fin_upper_lobe
uberon_2000715	1.0	adductor_hyohyoid
uberon_0005291	1.0	embryonic_tissue
uberon_0003080	1.0	anterior_neural_tube
uberon_2000309	1.0	e-ysl
uberon_0006215	1.0	rhombic_lip
uberon_0006600	1.0	presumptive_enteric_nervous_system
uberon_2001396	1.0	parapophysis_+_rib_of_vertebra_4
uberon_2000674	1.0	interopercle
uberon_0000397	1.0	colonic_epithelium
uberon_2001142	1.0	tooth_5v
uberon_2001095	1.0	immature_macula
uberon_0000013	1.0	sympathetic_nervous_system
uberon_0000010	1.0	peripheral_nervous_system
uberon_0005515	1.0	rhombomere_5
uberon_2005304	1.0	caudal_fin_blood_vessel
uberon_0006857	1.0	interrenal_primordium
uberon_0001771	1.0	pupil
uberon_0003957	1.0	bruch's_membrane
uberon_0001772	1.0	corneal_epithelium
uberon_0004121	1.0	ectoderm-derived_structure
uberon_0001777	1.0	substantia_propria_of_cornea
uberon_0001776	1.0	optic_choroid
uberon_2007054	1.0	pillar_of_the_anterior_semicircular_canal
uberon_2007055	1.0	pillar_of_the_lateral_semicircular_canal
uberon_2007050	1.0	constrictor_dorsalis
uberon_2007051	1.0	ventral_interhyoideus
